Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Header.stamp.secs,Offset_UTM_easting,Offset_UTM_northing
1663962299.38931,0,71099,0,GPS1_Frame,42.3335633333333,-71.088535,17,327935.155290436,4688924.90387081,19,T,1192,935.155290435767,424.903870807961
1663962300.34986,0,71100,0,GPS1_Frame,42.3335633333333,-71.088535,17,327935.155290436,4688924.90387081,19,T,1193,935.155290435767,424.903870807961
1663962301.34944,0,71101,0,GPS1_Frame,42.33356,-71.0885333333333,17.1,327935.283514849,4688924.53035741,19,T,1194,935.283514849143,424.530357411131
1663962302.35099,0,71102,0,GPS1_Frame,42.3335533333333,-71.0885266666667,17.2,327935.81459335,4688923.77658595,19,T,1195,935.814593349642,423.776585947722
1663962303.38901,0,71103,0,GPS1_Frame,42.3335466666667,-71.0885183333333,17.2,327936.4829868,4688923.0194422,19,T,1196,936.482986800489,423.019442203455
1663962304.34934,0,71104,0,GPS1_Frame,42.33354,-71.0885116666667,17.2,327937.014065554,4688922.26567084,19,T,1197,937.014065554133,422.265670838766
1663962305.38508,0,71105,0,GPS1_Frame,42.3335333333333,-71.0885016666667,17.3,327937.819774144,4688921.50515492,19,T,1198,937.819774143747,421.505154922605
1663962306.35485,0,71106,0,GPS1_Frame,42.333525,-71.0884933333333,17.4,327938.483622935,4688920.56294087,19,T,1199,938.483622935368,420.562940864824
1663962307.38883,0,71107,0,GPS1_Frame,42.3335166666667,-71.088485,17.4,327939.147471912,4688919.62072687,19,T,1200,939.147471911681,419.62072687503
1663962308.34963,0,71108,0,GPS1_Frame,42.33351,-71.088475,17.5,327939.953181046,4688918.86021122,19,T,1201,939.953181045537,418.860211223364
1663962309.34722,0,71109,0,GPS1_Frame,42.3335,-71.088465,17.6,327940.749800283,4688917.72955463,19,T,1202,940.749800283346,417.729554627091
1663962310.3509,0,71110,0,GPS1_Frame,42.33349,-71.0884583333333,17.6,327941.271789878,4688916.60564257,19,T,1203,941.271789877559,416.605642572977
1663962311.34839,0,71111,0,GPS1_Frame,42.3334816666667,-71.08845,17.4,327941.935639632,4688915.66342888,19,T,1204,941.935639632458,415.663428874686
1663962312.38154,0,71112,0,GPS1_Frame,42.33347,-71.0884433333333,17.2,327942.453084607,4688914.3544464,19,T,1205,942.453084606561,414.354446404614
1663962313.39191,0,71113,0,GPS1_Frame,42.33346,-71.0884383333333,16.9,327942.837759742,4688913.23390669,19,T,1206,942.837759742513,413.233906690963
1663962314.35097,0,71114,0,GPS1_Frame,42.33345,-71.0884333333333,16.6,327943.222435014,4688912.113367,19,T,1207,943.222435014264,412.113367003389
1663962315.34567,0,71115,0,GPS1_Frame,42.3334383333333,-71.08843,16.3,327943.465250403,4688910.811129,19,T,1208,943.465250402922,410.811129000969
1663962316.3492,0,71116,0,GPS1_Frame,42.33343,-71.0884216666667,16.4,327944.129101051,4688909.86891554,19,T,1209,944.129101050668,409.868915543892
1663962317.39064,0,71117,0,GPS1_Frame,42.3334233333333,-71.0884133333333,16.4,327944.797496797,4688909.11177267,19,T,1210,944.79749679676,409.111772673205
1663962318.35163,0,71118,0,GPS1_Frame,42.3334133333333,-71.088405,16.5,327945.456802897,4688907.98448884,19,T,1211,945.456802896573,407.984488834627
1663962319.35154,0,71119,0,GPS1_Frame,42.333405,-71.0883966666667,16.6,327946.120654097,4688907.04227559,19,T,1212,946.120654096827,407.042275585234
1663962320.34321,0,71120,0,GPS1_Frame,42.3333966666667,-71.0883883333333,16.7,327946.784505482,4688906.10006241,19,T,1213,946.78450548189,406.100062407553
1663962321.35188,0,71121,0,GPS1_Frame,42.3333883333333,-71.08838,16.8,327947.448357052,4688905.1578493,19,T,1214,947.44835705182,405.157849297859
1663962322.3546,0,71122,0,GPS1_Frame,42.33338,-71.0883716666667,16.9,327948.112208807,4688904.21563626,19,T,1215,948.112208806619,404.215636257082
1663962323.35202,0,71123,0,GPS1_Frame,42.33337,-71.0883666666667,17,327948.496885513,4688903.09509691,19,T,1216,948.496885513072,403.095096913166
1663962324.39031,0,71124,0,GPS1_Frame,42.33336,-71.0883616666667,17.2,327948.881562355,4688901.9745576,19,T,1217,948.88156235544,401.974557595328
1663962325.34748,0,71125,0,GPS1_Frame,42.3333483333333,-71.0883566666667,17.3,327949.261694546,4688900.66894779,19,T,1218,949.261694545858,400.668947789818
1663962326.39082,0,71126,0,GPS1_Frame,42.3333383333333,-71.0883516666667,17.5,327949.646371674,4688899.54840853,19,T,1219,949.646371673793,399.548408526927
1663962327.38755,0,71127,0,GPS1_Frame,42.3333266666667,-71.088345,17.6,327950.163819481,4688898.23942673,19,T,1220,950.163819481153,398.239426732995
1663962328.34911,0,71128,0,GPS1_Frame,42.3333166666667,-71.08834,17.6,327950.54849691,4688897.11888753,19,T,1221,950.54849691008,397.118887529708
1663962329.39046,0,71129,0,GPS1_Frame,42.3333066666667,-71.0883333333333,17.7,327951.07048983,4688895.99497634,19,T,1222,951.070489830279,395.994976335205
1663962330.34706,0,71130,0,GPS1_Frame,42.3332983333333,-71.0883266666667,17.7,327951.597027648,4688895.0561357,19,T,1223,951.597027647542,395.056135699153
1663962331.35054,0,71131,0,GPS1_Frame,42.3332883333333,-71.0883216666667,17.8,327951.981705518,4688893.93559659,19,T,1224,951.981705517857,393.935596592724
1663962332.34953,0,71132,0,GPS1_Frame,42.33328,-71.088315,17.8,327952.50824363,4688892.99675604,19,T,1225,952.508243629593,392.996756034903
1663962333.3523,0,71133,0,GPS1_Frame,42.33327,-71.08831,17.8,327952.892921782,4688891.87621699,19,T,1226,952.892921781517,391.876216989942
1663962334.35515,0,71134,0,GPS1_Frame,42.3332583333333,-71.0883066666667,18.1,327953.135739946,4688890.57397944,19,T,1227,953.135739945865,390.573979435489
1663962335.35274,0,71135,0,GPS1_Frame,42.333245,-71.088305,18.3,327953.236698069,4688889.09004335,19,T,1228,953.236698069144,389.090043353848
1663962336.35181,0,71136,0,GPS1_Frame,42.3332333333333,-71.088305,18.3,327953.20488541,4688887.79454976,19,T,1229,953.204885410378,387.794549763203
1663962337.34974,0,71137,0,GPS1_Frame,42.33322,-71.0883066666667,18.3,327953.031212555,4688886.31735764,19,T,1230,953.031212555245,386.317357638851
1663962338.35115,0,71138,0,GPS1_Frame,42.3332083333333,-71.0883083333333,18.3,327952.862084321,4688885.02523603,19,T,1231,952.862084321445,385.025236031041
1663962339.39139,0,71139,0,GPS1_Frame,42.333195,-71.0883116666667,18.5,327952.551095773,4688883.5514159,19,T,1232,952.551095772767,383.551415898837
1663962340.3528,0,71140,0,GPS1_Frame,42.33318,-71.0883116666667,18.7,327952.510193693,4688881.8857813,19,T,1233,952.510193693102,381.885781294666
1663962341.39058,0,71141,0,GPS1_Frame,42.3331683333333,-71.08831,18.8,327952.615696627,4688880.58691574,19,T,1234,952.615696627181,380.586915735155
1663962342.3807,0,71142,0,GPS1_Frame,42.333155,-71.0883083333333,19,327952.716654954,4688879.10297967,19,T,1235,952.716654953722,379.102979668416
1663962343.3797,0,71143,0,GPS1_Frame,42.3331433333333,-71.088305,19.1,327952.959473713,4688877.80074214,19,T,1236,952.959473712952,377.800742141902
1663962344.34993,0,71144,0,GPS1_Frame,42.3331316666667,-71.0883016666667,19.2,327953.202292583,4688876.49850463,19,T,1237,953.202292583184,376.498504632153
1663962345.39179,0,71145,0,GPS1_Frame,42.3331216666667,-71.0882983333333,19.4,327953.449656203,4688875.38133764,19,T,1238,953.449656202691,375.381337643601
1663962346.34753,0,71146,0,GPS1_Frame,42.33311,-71.0882933333333,19.3,327953.829791061,4688874.07572821,19,T,1239,953.829791061347,374.075728205033
1663962347.35226,0,71147,0,GPS1_Frame,42.3331,-71.0882866666667,19.2,327954.3517865,4688872.95181736,19,T,1240,954.351786499552,372.95181735605
1663962348.35416,0,71148,0,GPS1_Frame,42.33309,-71.08828,19.3,327954.873782117,4688871.82790655,19,T,1241,954.873782117153,371.827906553633
1663962349.35433,0,71149,0,GPS1_Frame,42.3330816666667,-71.0882733333333,19.3,327955.400322495,4688870.88906631,19,T,1242,955.400322494563,370.889066305943
1663962350.38681,0,71150,0,GPS1_Frame,42.3330733333333,-71.088265,19.3,327956.064178882,4688869.94685419,19,T,1243,956.064178881701,369.946854192764
1663962351.34746,0,71151,0,GPS1_Frame,42.333065,-71.0882566666667,19.3,327956.728035454,4688869.00464215,19,T,1244,956.728035453649,369.004642150365
1663962352.34601,0,71152,0,GPS1_Frame,42.3330566666667,-71.0882483333333,19.2,327957.39189221,4688868.06243017,19,T,1245,957.391892210464,368.06243017409
1663962353.38825,0,71153,0,GPS1_Frame,42.3330483333333,-71.08824,19.2,327958.055749152,4688867.12021827,19,T,1246,958.055749152089,367.120218270458
1663962354.34942,0,71154,0,GPS1_Frame,42.33304,-71.08823,19.1,327958.85692221,4688866.17463458,19,T,1247,958.856922209845,366.174634582363
1663962355.35371,0,71155,0,GPS1_Frame,42.33303,-71.08822,19.1,327959.653551029,4688865.04398049,19,T,1248,959.653551028576,365.043980488554
1663962356.38905,0,71156,0,GPS1_Frame,42.33302,-71.0882116666667,19.1,327960.312864137,4688863.91669832,19,T,1249,960.312864136882,363.916698316112
1663962357.39453,0,71157,0,GPS1_Frame,42.3330116666667,-71.0882033333333,19.1,327960.976721892,4688862.97448672,19,T,1250,960.976721891784,362.97448671516
1663962358.35297,0,71158,0,GPS1_Frame,42.333005,-71.0881933333333,19.2,327961.782440246,4688862.2139739,19,T,1251,961.782440246199,362.213973899372
1663962359.35328,0,71159,0,GPS1_Frame,42.3329966666667,-71.0881833333333,19.2,327962.583614395,4688861.26839068,19,T,1252,962.583614395349,361.268390676007
